assembly_models_name,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
BELL 429,M147,32,FAA AD 2012-17-01,"To prevent failure of the main landing gear tires during takeoff or landing, which could cause damage to the airplane structure, flaps, engine, and wheel well and result in reduced controllability of the airplane",MIS,13-Sep-2012,DGCA/New Misc/147,,,0:00, ,"Goodyear Aviation Tires (retreads are not affected by this AD), installed on various transport category airplanes, including but not limited to Bombardier, Inc. Model CL-600-2B19 airplanes."
BELL 429,M148,49,FAA AD 2012-18-14,"To prevent separation of the rear gas generator case and release of high energy debris, which could result in injury and damage to the airplane.",MIS,22-Oct-2012,DGCA/New Misc/148,,,0:00, ,"Pratt & Whitney Canada (P&WC) PW901A auxiliary power units (APUs) approved under Technical Standard Order TSO-C77A and installed on, but not limited to, Boeing 747-400 series airplanes. The affected APU serial numbers are PCE 900001 through PCE 900776 inclusive."
BELL 429,M149,35,EASA AD 2012-0254R1,Oxygen - Flight Crew Oxygen Mask Regulator - Identification / Operational Procedure / Replacement,MIS,21-Dec-2012,DGCA/New Misc/149 R1,,,0:00, ,"Intertechnique (EROS) Flight crew oxygen mask regulators, having Part Number (P/N) MC10, MF10 and MF20 series, with serial numbers (s/n) as listed in AD. The affected flight crew oxygen masks regulators are known to be installed on, aeroplanes manufactured by Airbus, ATR, Boeing, Bombardier Cessna, Gulfstream and McDonnell Douglas."
BELL 429,M150,72,FAA AD 2013-21-02,"To prevent turbocharger turbine wheel failure, reduction or complete loss of engine power, loss of engine oil, oil fire, and damage to the airplane.",MIS,20-Dec-2012,DGCA/New Misc/150 R1,,,0:00, ,"Lycoming Engines TIO-540-AK1A, and Continental Motors, Inc. TSIO-360- MB, TSIO-360-SB, and TSIO-360-RB reciprocating engines with turbochargers installed as listed in AD."
BELL 429,M151,34,FAA AD 2012-26-15,"To Detect and correct inaccuraciec of the pressure sensor which could result in altitude, computed airspeed, true airspeed and mach computation errors.",MIS,29-Jan-2013,DGCA/New Misc/151,,,0:00, ,"This AD applies to air data pressure transducers, as installed in air data computers (ADC), air data modules (ADM), air data attitude heading reference systems (ADAHRS), and digital air data computers (DADC) having the part numbers and serial numbers identified in Honeywell Alert Service Bulletin."
BELL 429,M151,34,FAA AD 2012-26-15 R1,"To Detect and Correct Inaccuracies Of the Pressure Sensors, Which Could Result In Altitude, Computed Airspeed and Mach Computation.",MIS,05-Feb-2013,DGCA/New Misc/151 R1,,,0:00, ,"This AD applies to air data pressure transducers, as installed in air data computers (ADC), air data modules (ADM), air data attitude heading reference systems (ADAHRS), and digital air data computers (DADC) having the part numbers and serial numbers identified in Honeywell Alert Service Bulletin ADM/ADC/ADAHRS-34-A01. ( ADC: - PN 7014700-626 - PN 7014700-914 - PN 7024900-31304 - PN 7030700-71701 - PN 7030700-71703 - PN 7030700-71704 - ADM: - PN 4071400-904 - PN HG1153CA03 - PN HG1153CA04 - PN PG1152BC02 - ADAHRS: - PN 065-00188-5103 - PN 065-00188-5502 - DADC: - PN 4040800-915)"
BELL 429,M151,34,FAA AD 2012-26-15 R1,"To Detect and Correct Inaccuracies Of the Pressure Sensors, Which Could Result In Altitude, Computed Airspeed and Mach Computation",MIS,19-Nov-2014,DGCA/New Misc/151 R1,,,0:00, ,"This AD applies to air data pressure transducers, as installed in air data computers (ADC), air data modules (ADM), air data attitude heading reference systems (ADAHRS), and digital air data computers (DADC) having the part numbers 065-00188-5103, 065-00188-5502 and serial numbers KSG7200-B1099 KSG7200-B1806 KSG7200-B1831 KSG7200-B1866 KSG7200-B1903 KSG7200-B1108 KSG7200-B1808 KSG7200-B1840 KSG7200-B1867 KSG7200-B1906 identified in Honeywell Alert Service Bulletin ADM/ADC/ADAHRS-34-A01."
BELL 429,M151,34,FAA AD 2012-26-15R1,"To detect and correct inaccuracies of the pressure sensors, which could result in altitude, computed airspeed, true airspeed, and Mach computation errors.",MIS,29-Oct-2014,DGCA/New Misc/151R1,,,0:00, ,"Air data pressure transducers, as installed in air data computers (ADC), air data modules (ADM), air data attitude heading reference systems (ADAHRS), and digital air data computers (DADC) having the part numbers and serial numbers identified in Honeywell Alert Service Bulletin ADM/ADC/ADAHRS-34-A01, dated November 6, 2012."
BELL 429,M152,25,EASA AD 2013-0020 R4,Equipment & Furnishings - Safety Belts / Torso Restraint Systems - Inspection / Replacement,MIS,14-Feb-2013,DGCA/New Misc/152 R5,,,0:00, ,"All P/N of safety belts and torso restraint systems installed on any aircraft where dynamically tested seats are required IAW airworthiness requirements like the European Certification Specifications (CS), or JAR/FAR, para 23.562, 25.562, 27.562 and 29.562, if safety belts and torso restraint systems have been maintained or repaired after 28 Sept 2003 by maintenance organizations not holding the applicable maintn data of the relevant approval holders, unless they are marked with European Parts Approval (EPA)."
BELL 429,M152,25,EASA AD 2013-0020 Rev 4,Equipment & Furnishings - Safety Belts / Torso Restraint Systems - Inspection / Replacement,MIS,11-Jul-2014,DGCA/New Misc/152R5,,,0:00, ,Applicable to All part numbers of safety belts and torso restraint systems installed on any Aircraft if safety belts and torso restraint systems have been maintained or repaired after 28 September 2003
BELL 429,M153 R12,25,EASA AD 2015-0226 R5,Equipment / Furnishings - Hoist - Test / Replacement,MIS,20-Aug-2020,DGCA/New Misc/153 R12,,,0:00, ,"Helicopters, when equipped with a Goodrich hoist having a Part Number (P/N) as listed in Table 1 of this AD."
BELL 429,M154,25,EASA AD 2013-0106,Equipment / Furnishings - Varnish on Veneered Panels - Inspection / Re-furbishing,MIS,16-May-2013,DGCA/NEW MISC/154,,,0:00, ,All modifications whose approval numbers are listed in Appendix 1 of this AD.
BELL 429,M154,25,EASA AD 2013-0106,Equipment / Furnishings - Varnish on Veneered Panels - Inspection / Re-furbishing,MIS,16-May-2013,DGCA/New Misc/154,,,0:00, ,"All modifications whose approval numbers are listed in Appendix 1 of this AD. This AD applies to PILATUS Aircraft Ltd. Models PC-7 airplanes, serial numbers 101 through 618, certificated in any category."
BELL 429,M154,25,EASA AD 2013-0106,Equipment / Furnishings - Varnish on Veneered Panels - Inspection / Re-furbishing,MIS,16-May-2013,DGCA/NEW MISC/154,,,0:00, ,"All modifications whose approval numbers are listed in Appendix 1 of this AD. This AD applies to PILATUS Aircraft Ltd. Models PC-7 airplanes, serial numbers 101 through 618, certificated in any category."
BELL 429,M154,25,EASA AD 2013-0106,Equipment / Furnishings - Varnish on Veneered Panels - Inspection / Re-furbishing,MIS,16-May-2013,DGCA/NEW MISC/154,,,0:00, ,All modifications whose approval numbers are listed in Appendix 1 of this AD.
BELL 429,M154,25,EASA AD 2013-0106,Equipment / Furnishings - Varnish on Veneered Panels - Inspection / Re-furbishing,MIS,16-May-2013,DGCA/NEW MISC/154,,,0:00, ,All modifications whose approval numbers are listed in Appendix 1 of this AD.
BELL 429,M154,25,EASA AD 2013-0106,Equipment / Furnishings - Varnish on Veneered Panels - Inspection / Re-furbishing,MIS,16-May-2013,DGCA/New Misc/154,,,0:00, ,"All modifications whose approval numbers are listed in Appendix 1 of this AD. These modifications are known to be embodied on the aeroplanes identified in All modifications whose approval numbers are listed in Appendix 1 of this AD. These modifications are known to be embodied on the aeroplanes identified in All modifications whose approval numbers are listed in Appendix 1 of this AD. These modifications are known to be embodied on the aeroplanes identified in Bombardier, British Aerospace and Gulfstream, Airbus and Boeing, Dassault Aviation."
BELL 429,M154,25,EASA AD 2013-0106,Equipment / Furnishings - Varnish on Veneered Panels - Inspection / Re-furbishing,MIS,16-May-2013,DGCA/NEW MISC/154,,,0:00, ,"All modifications whose approval numbers are listed in Appendix 1 of this AD. Aeroplane TC Holder: Airbus ,Boeing ,Bombardier ,Dassault Aviation ,Gulfstream,BAE Systems includes their corresponding models.Refer AD Appendix 1."
BELL 429,M154,25,EASA AD 2013-0106,Equipment / Furnishings - Varnish on Veneered Panels - Inspection / Re-furbishing,MIS,16-May-2013,DGCA/NEW MISC/154,,,0:00, ,All modifications whose approval numbers are listed in Appendix 1 of this AD.
BELL 429,M155,33,FAA AD 2013-10-01,"Unsafe condition as the Searchlight/ Gimbal disconnecting from the helicopter and remaining attached solely by the internal cable harness, or separating totally.",MIS,20-Jun-2013,DGCA/New Misc/155,,,0:00, ,"Spectrolab Nightsun XP Searchlight Assembly Systems with gimbal assembly part number (P/N) 033295-1 or 033295-2, installed on, but not limited to, Agusta S.p.A. Model AB139 and Model AW139 helicopters, Sikorsky Aircraft Corporation Model S-92A helicopters, and Eurocopter Deutschland GmbH Model EC135 and Model MBB-BK 117 C-2 helicopters, certificated in any category."
BELL 429,M156,21,FAA AD 2013-09-11,"To prevent the brushes in the A/C motor from wearing down beyond their limits, which could result in the rivet in the brush contacting the commutator causing sparks and consequent fire and/or smoke in the tailcone with no means to detect or extinguish the fire and/or smoke.",MIS,05-Jul-2013,DGCA/New Misc/156,,,0:00, ,"Cessna Aircraft Company airplanes, certificated in any category."
BELL 429,M157,25,FAA AD AD 2013-11-04,"To prevent the failure of urethane seals to maintain sufficient Halon concentrations in the cargo compartments to extinguish or contain fire or smoke, and to prevent penetration of fire or smoke",MIS,09-Jul-2013,DGCA/New Misc/157,,,0:00, ,"The Boeing Company airplanes, certificated in any category, identified in paragraphs (c)(1), (c)(2), and (c)(3) of this AD."
BELL 429,M159,24,FAA AD AD 2014-17-02,"To detect and correct discrepancies of the battery wiring installation inside the TU, which could result in an electrical short and possible ignition source.",MIS,03-Oct-2013,DGCA/New Misc/159R1,,,0:00, ,"Honeywell ASCs Inc. emergency locator transmitters (ELTs) Model RESCU 406AF and 406AFN with transmitter unit (TU) part numbers (P/Ns) 1152682-1, -2, and -3, installed on transport category airplanes, certificated in any category"
BELL 429,M160,25,EASA AD 2014-0095R1,Equipment / Furnishings - Crash Position Indicator - Modification Aircraft Flight Manual - Amendment,MIS,12-May-2014,DGCA/New Misc/160R2,,,0:00, ,"HR Smith (Technical Developments) Crash Position Indicator (CPI) System 15-503-134 and 15-503-134-1 series equipped with Control Panel part number (P/N) 503-22-() and Beacon release unit P/N 503-21 and System Interface Unit P/N 503-24-() or 503-42-(), except System Interface Unit P/N 503-24-A, or 503-24-()-A, or 503-24-G, or 503-24-()-G, or 503-42-A or 503-42-()-A or 503-42-G or 503-42-()-G."
BELL 429,M161,25,FAA AD 2014-05-27,To correct possible misalignment issues with the transponders that could result in increased pilot and air traffic controller workload as well as reduced separation of airplanes,MIS,28-Mar-2014,DGCA/New Misc/161,,,0:00, ,"Rockwell Collins, Inc. Mode S transponders that are installed on but not limited to the airplanes listed in para (c)(2)(i) and (c)(2)(ii) of this AD."
BELL 429,M161,34,FAA AD 2014-05-27,To correct possible misalignment issues with transponders that could result in increased pilot and air traffic controller workload as well reduced separation of Airplanes.,MIS*,07-Apr-2014,DGCA/New Misc/161,,,0:00, ,"Applicable to Rockwell Collins, Inc. Mode S transponders"
BELL 429,M162,25,EASA AD 2014-0088,Communications - Cockpit Voice Recorder - Replacement,MIS,15-Apr-2014,DGCA/New Misc/162,,,0:00, ,"TEAM CVR, Part Number (P/N) AP71232101 and P/N AP71231101 Cockpit Voice Recorders (CVR), all serial numbers."
BELL 429,M163,25,EASA AD 2014-0125,Equipment / Furnishings - Crash Position Indicator System - Replacement; Aircraft Flight Manual - Amendment,MIS,15-May-2014,DGCA/New Misc/163,,,0:00, ,"HR Smith (Technical Developments) Crash Position Indicator (CPI) system 15-503-134-1 series, if equipped with Beacon Release Unit (BRU) Part Number (P/N) 503-21-1, and System Interface Unit (SIU) P/N 503-24 or P/N 503-24-2 or P/N 503-24-6."
BELL 429,M164,25,EASA AD 2014-0142R1,Oxygen - Oxygen Mask Regulator Inflatable Harness / Inflation Hose - Identification / Replacement,MIS,18-Jun-2014,DGCA/New Misc/164,,,0:00, ,"Zodiac Aerotechnics (formerly Intertechnique, EROS) Flight Crew Oxygen Mask Regulators MC10 series, having a Part Number (P/N) as identified in Section 1.A.(1) of Zodiac Aerotechnics Service Bulletin (SB) MC10-35-274 Revision 1 issue dated 18 April 2014."
BELL 429,M165,25,EASA AD 2014-0187,Equipment & Furnishings - Safety Belt Attachment Bolts - Inspection / Replacement,MIS,17-Mar-2015,DGCA/New Misc/165,,,0:00, ,"Geven S.p.A. - Aircraft Seating and Interiors Type D1-02 and D1-03 seats, also known as ""Lightweight Classic"" and ""Lightweight Prestige"", Part Numbers (P/N) as specified in Geven Service Bulletin (SB) No. D103-25-004 Revision 2."
BELL 429,M166,25,EASA AD 2014-0188R4,Equipment & Furnishings - Emergency Flotation System - Rotorcraft Flight Manual (Supplement),MIS,07-Nov-2014,DGCA/New Misc/166 R3,,,0:00, ,"Airbus Helicopters AS 365 N2, AS 365 N3, EC 155 B, EC 155 B1, AS 332 C, AS332 C1, AS332 L, AS 332 L1, AS 332 L2 and EC 225 LP helicopters, all S/Ns. if equipped with Emergency Flotation System, all P/N, as approved optional kit for ditching provision from the helicopter Manufacturer or by a Supplemental Type Certificate (STC)."
BELL 429,M166,25,EASA AD 2014-0188 R4,Equipment & Furnishings - Emergency Flotation System - Rotorcraft Flight Manual (Supplement) Limitation,MIS,12-Aug-2015,DGCA/New Misc/166 R3,,,0:00, ,"SA 365 N, SA 365 N1, AS 365 N2, AS 365 N3, EC 155 B, EC 155 B1, AS 332 C, AS332 C1, AS332 L, AS 332 L1, AS 332 L2 and EC 225 LP helicopters, all serial numbers (s/n), MBB-BK 117 A-1, MBB-BK 117 A-3, MBB-BK 117 A-4, MBB-BK 117 B-1, MBB-BK 117 B-2, MBB-BK 117 C-1 and MBB-BK 117 C-2 helicopters, all s/n, and AB 212, AB 412 and AB 412EP helicopters, all s/n,."
BELL 429,M167,25,EASA AD 2014-0244,Equipment & Furnishings - Emergency Flotation System - Rotorcraft Flight Manual (Supplement),MIS,07-Nov-2014,DGCA/New Misc/167 R1,,,0:00, ,"Sikorsky S-76A, S-76B, S-76C and S-92A helicopters, all serial numbers (s/n), Bell Helicopters. if equipped with an Emergency Flotation System (EFS), all part numbers, as approved optional kit for ditching provision from the helicopter Manufacturer or by a Supplemental Type Certificate (STC)."
BELL 429,M168,25,FAA AD 2014-18-01,"To detect and correct Mode S transponders that do not respond correctly to Mode S Only All-Call interrogations, which could result in increased pilot and air traffic controller workload as well as reduced separation of airplanes.",MIS,09-Sep-2014,DGCA/New Misc/168,,,0:00, ,"Rockwell Collins, Inc. part number (P/N) Mode S transponders TDR-94: CPN 622-9352-008, 622-9352-108, 622-9352-308, 622-9352-408; and TDR-94D: CPN 622-9210-008, 622-9210-108, 622-9210-308, 622-9210-408."
BELL 429,M169,25,FAA AD 2015-10-02,"To detect and correct cracks in the backrest links, which could affect the structural integrity of seat backrests. Failure of the backrest links could result in injury to an occupant during emergency landing conditions.",MIS,28-Oct-2014,DGCA/New Misc/169 R1,,,0:00, ,"Zodiac Seats France 9140, 9166, 9173, 9174, 9184, 9188, 9196, 91B7, 91B8, 91C0, 91C2, 91C4, 91C5, 91C9, 9301, and 9501 series passenger seat assemblies; identified in Annex 1, Issue 3, dated January 25, 2012, of Sicma Aero Seat Service Bulletin 90-25-012, Issue 6, dated January 25, 2012."
BELL 429,M170,25,EASA AD 2014-0279,Equipment / Furnishing - Restraint System Rotary Buckle Sub Assembly - Identification / Replacement,MIS,19-Dec-2014,DGCA/New Misc/170,,,0:00, ,Romtex Anjou Aeronautique model 358 torso restraint systems.
BELL 429,M171,34,FAA AD 2015-10-51,"ATA 34-Navigation, To prevent such incorrect display of lateral deviations, which could result in the pilot making flight decisions that put the aircraft in unsafe flight conditions, flying into airspace that was, by the GPS approach design, to be avoided (terrain, obstacle, traffic, restricted).",MIS,18-May-2015,DGCA/New Misc/171,,,0:00, ,"Avidyne Corporation (Avidyne) Integrated Flight Displays (IFDs) part number (P/N) 700-00083-( ) loaded with software release 9.3.1.0 or earlier release (referred to as Model R9 - 10 inch), P/N 700-00171-( ) loaded with software release 9.2.5.0 or earlier release (referred to as Model R9 - 12 inch), and P/N 700-00182-( ) loaded with software release 10.0.3.0 or earlier release (referred to as Model IFD540)."
BELL 429,M172,35,FAA AD 2015-08-07,"To detect and correct defective harnesses, which could lead, in case of a sudden depressurization event, to a harness rupture, thereby providing inadequate protection against hypoxia and possibly resulting in unconsciousness of the affected flightcrew member and consequent reduced control of the airplane.",MIS,16-Jun-2015,DGCA/New Misc/172,,,0:00, ,"Zodiac Aerotechnics (formerly Intertechnique Aircraft Systems) flightcrew oxygen mask regulators, all part number (P/N) MA10, MC10, MC20, MF10, MF20, MLC20, MLD20, MRA005, MRA022, and MRA023 series; certificated in any category; installed on."
BELL 429,M173,34,EASA AD 2015-0093,Navigation - Attitude Heading Reference System - Modification / Replacement,MIS,10-Jun-2015,DGCA/New Misc/173,,,0:00, ,"Northrop Grumman LITEF GmbH LCR-100 Attitude Heading Reference System (AHRS), Part Number (P/N) 145130-2000, P/N 145130-2001, P/N 145130-7000, P/N 145130-7001 and P/N 145130-7100."
BELL 429,M174,26,FAA AD 2015-16-04,"To prevent fire extinguishers from failing to operate in the event of a fire, which could jeopardize occupants' safety and continuation of safe flight and landing.""",MIS,15-Sep-2015,DGCA/New Misc/174,,,0:00, ,"Kidde Graviner hand-operated fire extinguishers having part numbers 56412-001 (34H), 56411-001 (35H), and 56412-002 (38H). These fire extinguishers may be installed on, but not limited to, aircraft, certificated in any category, specified in paragraphs (c)(1), (c)(2), (c)(3), (c)(4), (c)(5), and (c)(6) of AD."
BELL 429,M175,26,FAA AD 2015-15-14,"To detect and correct solder deposited on the frangible plug of the fire extinguisher, which could result in failure of the fire extinguisher to discharge, and consequent inability to put out a fire in an engine or in the APU.",MIS,04-Aug-2016,DGCA/New Misc/175,,,0:00, ,For airplanes equipped with Kidde Graviner fire extinguishers having part number (P/N) 57183 (all dash numbers)
BELL 429,M177,35,FAA AD 2016-11-20,"ATA-35, OXYGEN, To correct the unsafe condition on B/E Aerospace Protective Breathing Equipment (PBE), part number (P/N) 119003-11.",MIS,04-Aug-2016,DGCA/New Misc/177,,,0:00, ,"B/E Aerospace Protective Breathing Equipment (PBE), part number (P/N) 119003-11, that is installed on airplanes."
BELL 429,M178,26,EASA AD 2016-0024,Fire Protection - Optical and Ambient Smoke Detectors - Identification / Replacement,MIS,11-Aug-2016,DGCA/New Misc/178,,,0:00, ,"Siemens S.A.S. Part Number (P/N) PMC1102-02, P/N PMC3100-00 and P/N GMC1102-02 smoke detectors, having a date of manufacture (DMF, in digits as 'MMYYYY', e.g. 072010, see Appendix 2 of this AD) between Nov 2010 to Jan 2013 inclusive, and certain repaired units, as identified by P/N and serial number (s/n) in Appendix 1 of this AD."
BELL 429,M179,25,EASA AD 2016-0026,Equipment / Furnishings - Emergency Parachute Rubber Bands - Replacement,MIS,11-Aug-2016,DGCA/New Misc/179,,,0:00, ,"Heinrich Mertens, Type 10-30/24, 12-61/24 and 12-82/23 Emergency Parachutes, all variants, serial number (s/n) 13-227154 to s/n 14-227292 inclusive."
BELL 429,M180,26,EASA AD 2016-0044,Fire Protection - Engine and Auxiliary Power Unit Automatic Fire Extinguishers - Inspection/Overhaul,MIS,11-Aug-2016,DGCA/New Misc/180,,,0:00, ,"Kidde Graviner Single Head Automatic Fire Extinguishers, Part Number (P/N) 12A, P/N 13A, P/N 59A, P/N 60A, P/N 99A, P/N 146A, P/N 161A, P/N 162A, P/N 167A, P/N 170A, P/N 170A-02, P/N 182A, P/N 187A, P/N 229A(1), P/N 242A(1), P/N 236A, P/N 237A, P/N 241A, P/N 1167A, P/N 1187A, P/N 1200A, P/N 57133 series, P/N 57135 series, P/N 57183 series, P/N 57331 series, P/N 57333 series and P/N 57335 series, all serial numbers."
BELL 429,M181,28,EASA AD 2016-0151,Fuel - Burner and Fuel Hoses - Identification/ Replacement,MIS,26-Jul-2016,DGCA/New Misc/181,,,0:00, ,"All balloon types and models, as specified in the referenced TCDS listed above, all serial numbers, if equipped with a Kubi?ek Burner with fuel hoses made of ""EGEFLEX"" material."
BELL 429,M190,44,FAA AD 2017-04-06,"TO PREVENT DISPLAY OF MISLEADING ALTITUDE DATA, WHICH COULD RESULT IN INADVERTENT FLIGHT INTO TERRAIN",MIS#,25-Oct-2017,DGCA/New Misc/190,,,0:00, ,"This AD applies to United Instruments, Inc. 5934 series altimeters that were manufactured between January 2015 and February 2016 and installed in airplanes and helicopters."
BELL 429,M191,21,FAA AD 2017-06-03,"TO DETECT AND CORRECT A HAZARDOUS CONDITION CAUSED BY DETERIORATION OF THE COMBUSTION HEATER, WHICH COULD LEAD TO IGNITION OF COMPONENTS AND RESULT IN SMOKE AND FUMES IN THE CABIN",MIS#,25-Oct-2017,DGCA/New Misc/191,,,0:00, ,"This AD applies to Meggitt (Troy), Inc. (previously known as Stewart Warner South Wind Corporation and as Stewart Warner South Wind Division) Models (to include all dash number and model number variants) 921, 930, 937, 940, 944, 945, 977, 978, 979, 8240, 8253, 8259, and 8472 combustion heaters"
BELL 429,M192,25,FAA AD 2017-09-09,TO PREVENT SERIOUS INJURY TO THE OCCUPANT DURING FORWARD IMPACTS IN EMERGENCY LANDING CONDITIONS,MIS#,25-Oct-2017,DGCA/New Misc/192,,,0:00, ,"This AD applies to Zodiac Seats California LLC seating systems having the model numbers and part numbers identified in table 1 to paragraphs (c), (g), (i), (j), and (k) of this AD,"
BELL 429,M193,34,FAA AD 2017-11-11,TO DEFINES THE UNSAFE CONDITION AS AN ADSB UNIT INCORRECTLY BROADCASTING A SOURCE INTEGRITY LEVEL (SIL) OF 3 INSTEAD OF ITS AUTHORIZED SIL OF 0. THIS CONDITION COULD RESULT IN THE UNIT COMMUNICATING UNRELIABLE POSITION INFORMATION TO AIR TRAFFIC CONTROL AND NEARBY AIRCRAFT AND A SUBSEQUENT AIRCRAFT COLLISION.,MIS#,25-Oct-2017,DGCA/New Misc/193,,,0:00, ,"This AD applies to the following NavWorx, Inc., Automatic Dependent Surveillance-Broadcast (ADS-B) Universal Access Transceiver units (unit) installed on aircraft certificated in any category."
BELL 429,M194,25,FAA AD 2017-16-04,"THIS AD DEFINES THE UNSAFE CONDITION AS A BROKEN BUCKLE KNOB. THIS CONDITION COULD RESULT IN A RESTRAINT SYSTEM STRAP FAILING TO RELEASE FROM THE BUCKLE, PREVENTING OCCUPANTS FROM EXITING THE HELICOPTER DURING AN EMERGENCY",MIS#,25-Oct-2017,DGCA/New Misc/194,,,0:00, ,"This AD applies to Romtex torso restraint systems (restraint systems) with a rotary buckle sub-assembly (buckle assembly) with a part number and serial number as listed in the Effectivity, paragraph 1.2, of Anjou Aero Service Bulletin No. 358SB-14-101"
BELL 429,M195,25,EASA AD 2017-0001,EQUIPMENT / FURNISHINGS - CABIN ATTENDANT SEAT - INSPECTION,MIS#,25-Oct-2017,DGCA/New Misc/195,,,0:00, ,"Cabin Attendant Seats 536 series, Part Number (P/N) 53600, all dash numbers, all serial numbers."
BELL 429,M196,26,FAA AD 2017-19-05,"TO PREVENT FAILURE OF THE SMOKE DETECTOR, ON-BOARD UNCONTROLLED FIRE, AND DAMAGE TO THE AIRPLANE",MIS#,25-Oct-2017,DGCA/New Misc/196,,,0:00, ,"This AD applies to Siemens S.A.S. smoke detectors, part numbers (P/Ns) PMC1102-02, PMC3100-00, and GMC1102-02, with serial numbers (S/Ns) listed in paragraph 1/D/ of Siemens Service Information Letter (SIL) No. PMC-26-002 R1."
BELL 429,M 229,26,EASA AD No.: 2020-0013,ATA 26 - Fire Protection - Hand-held Fire Extinguishers - Replacement,MIS,04-Feb-2020,DGCA/NEW MISC/229,,,0:00, ,"AS 332 C, C1, L, L1 and L2, AS 365 N2 and N3, EC 155 B and B1, EC 175 B, EC 225 LP, SA 330 J, and SA 365 C1, C2, C3, N and N1 helicopters, all serial numbers (s/n)"
BELL 429,M040,25,DGAC AD 2000-042(AB),Third occupant seat headrest locking point,MIS,05-Feb-2000,DGCA/New Misc/40,,,0:00, ,"SICMA Aero Seat 133 series third occupant seats(P/N and S/N as listed in AD) manufactured before 01-12-90, found on Airbus Industry A319, A320, and A321 aircraft ."
BELL 429,M041,24,DGAC AD 2002-105(AB),IFE electric harness protection in central foldable armrest.,MIS,02-Oct-2002,DGCA/New Misc/41,,,0:00, ,"Sicma Aero Seat 9801 and 9802 Series passenger seats listed in Sicma Aero Seat SB 98-25-014 Issue 1 dt.1 Oct 2001.These seat are installed on, but not limited to Airbus A330 and A340 aircraft."
BELL 429,M069,25,DGAC AD 2001-351(B) R1,Equipment; Babies Bassinets,MIS#,15-Nov-2001,DGCA/New Misc/69,,,0:00, ,The Referenced AD cancelled by DGAC Authority.
BELL 429,M070,100,FAA AD 2002-20-05,To prevent mounting bracket failure and seperation of the rescue hoistfrom the helicopter,MIS,07-Nov-2002,DGCA/New Misc/70,,,0:00, ,"Breeze Eastern Aerospace rescue hoists series BL-16600, excluding BL-16600-160. These hoists are installed on, but not limited to Augusta A109, Bell 206, Bell 222, Bell 407 and Sikorsky S-61 helicopters."
BELL 429,M071,34,FAA AD 2010-07-02,To ensure that the flight crew has an accurate glide slope deviation indication.,MIS,11-May-2010,DGCA/New Misc/71 R2,,,0:00, ,"To aircraft, certificated in any category, equipped with Honeywell Primus II RNZ-850( )/ -851( ) integrated navigation unit (INU) having a P/N in Table 1 of this AD."
BELL 429,M089,100,FAA AD 2006-04-04,To identify and provide correct action for potentially inoperative smoke detector,MIS,24-Mar-2006,DGCA/New Misc/89,,,0:00, ,Meggitt Model 602 smoke detectors approved underTSO-C1C and having any P/N 8930-( ):Refer table-1 of this AD.
BELL 429,M169,25,FAA AD 2015-10-02,"TO DETECT AND CORRECT CRACKS IN THE BACKREST LINKS, WHICH COULD AFFECT THE STRUCTURAL INTEGRITY OF SEAT BACKRESTS. FAILURE OF THE BACKREST LINKS COULD RESULT IN INJURY TO AN OCCUPANT DURING EMERGENCY LANDING CONDITIONS",MIS#,11-Jun-2015,DGCA/NEW-MISC /169R1,,,0:00, ,"This AD applies to Zodiac Seats France 9140, 9166, 9173, 9174, 9184, 9188, 9196, 91B7, 91B8, 91C0, 91C2, 91C4, 91C5, 91C9, 9301, and 9501 series passenger seat assemblies; identified in Annex 1, Issue 3, dated January 25, 2012, of Sicma Aero Seat Service Bulletin 90-25-012, Issue 6, dated January 25, 2012. These passenger seat assemblies are installed on, but not limited to, the airplanes identified in paragraphs (c)(1), (c)(2) and (c)(3) of this AD, certificated in any category. (1) Airbus Model A330-200, A330-200 Freighter, and A320-300 series airplanes. (2) Airbus Model A340-200, A340-300, A340-500, and A340-600 series airplanes. (3) The Boeing Company Model 777-200, 777-200LR, 777-300, 777-300ER, and 777F series airplanes."
BELL 429,M 227,25,EASA AD : 2019-0235,ATA 25 - Equipment / Furnishings - Emergency Locator Transmitter - Inspection / Modification / Replacement,MIS,30-Sep-2019,DGCA/New-Misc./227,,,0:00, ,"Emergency locator transmitters (ELT) G406-4, C406-1, C406-1HM, C406-2, C406-2HM, C406-N and C406-NHM identified by Part Number (P/N) and serial number (s/n) in Appendix 1 of this AD."
BELL 429,DGCA/New-Misc./234,61,FAA AD 2020-19-06,"Joint Aircraft System Component (JASC)/Air Transport Association (ATA) of America Code 61, Propellers.",MIS,11-Nov-2020,DGCA/New-Misc./234,,,0:00, ,"This AD applies to the McCauley Propeller Systems (McCauley) governors specified in paragraph (c)(1) or (2) of this AD and installed on airplanes, certificated in any category. (1) Models listed in table 2 of McCauley Alert Service Bulletin No. ASB273C, dated January 30, 2019 (McCauley ASB273C) with a serial number from 170061 through 180501, excluding the serial numbers listed in table 1 of McCauley ASB273C; or (2) Models listed in table 2 of McCauley ASB273C, with any serial number, that have an installation date after January 31, 2017, or an installation date that cannot be determined."
