part_no,description,part_type,location,min_stock_level,rate,unit,category,serialized_status
----,PRESSURE GAUGE(0-210KG/CM^2),Vendor Part,,0,0,Each.,Equipment,
23350AC040LE,Washer Lock,Vendor Part,,0,0,EACH,Expendable,
101-555211-3 / 101-555211-7,Compressor Assembly,Vendor Part,,0,0,EACH,Rotable,
355A11-0030-04,Main Rotor Blade,Superseed Part,,0,0,EACH,Rotable,
"​​299-947-107,TYPE-III CLASS-7",Sealant,Vendor Part,FR,2,0,EACH,Consumable,
​1076A2-1,"Filter,Kit",Vendor Part,,0,0,EACH,Expendable,
​1076A2-1​,"Filter,Kit",Vendor Part,,0,0,EACH,Expendable,
​1076A4-3,"Filter,Kit",Vendor Part,,0,0,EACH,Expendable,
​130005,PLUG TERMINAL,Vendor Part,,0,0,EACH,Expendable,
"​299-947-107,TYPE-III CLASS-7",Sealant,Alternate Part,FR,2,0,EACH,Consumable,
"""CJ93-1-1,CJ125-6 & 23055732""",Puller Set,Vendor Part,,0,0,EACH,Special Tool,
(N320C4,Nut,Vendor Part,,0,0,EACH,Expendable,
0.028IN.(0.71MM) DIA 22SWG WIRE COPPER,Copper wire,Vendor Part,,0,0,EACH,Consumable,
0.032”LOCKING WIRE,LOCKING WIRE,Vendor Part,,0,0,1 LB,Consumable,
000-1740000-54,Cover RH Wing Tip Light,Vendor Part,,0,0,EACH,Expendable,
00033096-7,Light Assembly,Vendor Part,,0,0,EACH,Expendable,
00033106-1,Gasket Assy,Vendor Part,,0,0,EACH,Expendable,
00053SST-1,"Thinner, MIL-T-81772B",Vendor Part,,0,0,USG,Consumable,
00076-10C,"Pin, Door",Vendor Part,,0,0,EACH,Expendable,
00076-10C010,"Assembly, Bushing & Plate",Vendor Part,,0,0,EACH,Expendable,
001104-203-02,Connector,Vendor Part,,0,0,EACH,Expendable,
001115-201-03,"Block, Terminal",Vendor Part,,0,0,EACH,Expendable,
00124N1,Bulb,Vendor Part,IXB9,0,0,EACH,Expendable,
0012AC10,"Probe, AOA",Vendor Part,,0,0,EACH,Expendable,
0012AC11,"Sensor, AOA LH",Vendor Part,,0,0,EACH,Repairable,
0012AC12,"Sensor, AOA RH",Vendor Part,,0,0,EACH,Repairable,
0012AC9,AOA Sensor,Vendor Part,,0,0,EACH,Expendable,
00216-11OZ,Lubricant,Alternate Part,POL,0,0,EACH,Consumable,
002-524022-3,"Spring,Rudder",Vendor Part,,0,0,EACH,Expendable,
00-30-006,Battery Pack,Vendor Part,,0,0,EACH,Expendable,
003-1130-0002,Placard,Vendor Part,,0,0,EACH,Expendable,
006-00192-0002,"Spare Kit, RMI K1299 Installation Kit",Vendor Part,AVIC3,0,22,EACH,Expendable,
00EDS-2004-02,"Cylinder, Oxygen, Kit for External Use",Vendor Part,,0,0,EACH,Equipment,
010-00330-50,Chart Unlock,Standard Part,,0,0,EACH,Expendable,
010-00330-51,Taws Unlock Card,Standard Part,,0,0,EACH,Expendable,
010-00681-13,Garmin G1000 Software Loader Card,Vendor Part,,0,0,EACH,Publications,
010-00681-16,"Card,LOADER",Vendor Part,,0,0,EACH,Expendable,
010-00681-18,Software,Vendor Part,,0,0,EACH,Publications,
010-00769-60,GDU6XX INSTALLER UNLOCK,Vendor Part,,0,0,EACH,Expendable,
010-00769-61,GDU6XX VIDEO ENABLEMENT,Vendor Part,,0,0,EACH,Expendable,
010-00836-22,"GPS Map, Aera 550 Portable",Vendor Part,,0,0,EACH,Repairable,
010-00878-04,16W COMM ENABLEMENT,Vendor Part,,0,0,EACH,Expendable,
010-00900-00,GTN 6XX/7XX SUPP DATA,Vendor Part,,0,0,EACH,Expendable,
010-10040-02,"Antenna, GPS",Vendor Part,AIII,0,0,EACH,Expendable,
010-10057-00,"Converter, Voltage, 28 to 14VDC",Vendor Part,,0,0,EACH,Expendable,
010-10201-21,Data Base,Vendor Part,A,1,0,EACH,Expendable,
010-10485-00,Mount,Vendor Part,,0,34.99,EACH,Expendable,
010-10516-00,Power Cable,Vendor Part,,0,0,EACH,Expendable,
010-10517-01,Lithium Ion Battery,Vendor Part,,0,0,EACH,Expendable,
010-10517-02,"Battery,GPS-296 GARMIN",Alternate Part,,0,0,EACH,Rotable,
010-10546-00,"Card, Data",Vendor Part,,0,0,EACH,Expendable,
010-10546-02,DATA CARD,Vendor Part,,0,0,EACH,Accessories,
010-10720-00,GA-58 Directional Antenna (QMA Connector),Vendor Part,,0,0,EACH,Expendable,
010-11206-10,Battery Pack,Vendor Part,,0,0,EACH,Component,
010-1206-10,Battery Pack,Vendor Part,,0,0,Each-12OZ,Expendable,
010-1302,"Lacquer, sealing raw edges of Bakelite and fiberglass 010-1302",Vendor Part,,0,0,EACH,Consumable,
01-0450685-00,Clamp Ring,Vendor Part,,0,0,EACH,Expendable,
01-0506-0000,Towbar - HEAD,Vendor Part,,0,0,EACH,Special Tool,
01-0516-0000,"Head, Sikorsky S76",Vendor Part,,0,0,EACH,Special Tool,
01-0556-0000,Dauphin Aircraft Attachment head,Vendor Part,,0,0,EACH,Special Tool,
01-0574-0010,"Head, Tow Bar, HS-125 & Hawker 800",Vendor Part,HGR,0,0,EACH,Equipment,
01-0627-0000,"HEAD, H160 (CE)",OEM Part,,0,0,EACH,Equipment,
01-0770019-18,"Head Assembly, Strobe",Vendor Part,VIIF3,0,94.59,EACH,Expendable,
01-0770019-21,"Head Assembly, Strobe",Vendor Part,F1,0,160.88,EACH,Expendable,
01-0770044-00,"Flashtube, Anticollision",Vendor Part,,0,0,EACH,Expendable,
01-0770044-01,Strobe Light Assy,Vendor Part,,0,0,EACH,Expendable,
01-0770044-02,Flashtube Assembly,Vendor Part,XID1,1,73.36,EACH,Expendable,
01-0770054-05,Light Assembly,Vendor Part,,0,0,EACH,Expendable,
01-0770054-07,Wing Tip Strobe/Position Light,Vendor Part,,0,0,EACH,Expendable,
01-0770062-03,Power Pack,Vendor Part,AV,0,0,EACH,Repairable,
01-0770190-W-14,Light Assembly,Vendor Part,,0,0,EACH,Expendable,
01-0770285-21,"Light, Strobe",Vendor Part,,0,0,EACH,Expendable,
01-0770501-00,"Strobe, SV",Vendor Part,,0,0,EACH,Expendable,
01-0770935-01,Light Assembly,Vendor Part,,0,0,EACH,Expendable,
01-0770935-02,Light,Vendor Part,,0,0,EACH,Expendable,
01-0770966-01,"Light, LED, Navigation",Vendor Part,,0,0,EACH,Expendable,
01-0771011-03,Tail Light Assy,Vendor Part,,0,0,EACH,Expendable,
01-0771015-03,"Light Assembly, Navigation",Vendor Part,,0,0,EACH,Expendable,
01-0771015-04,"Light Assembly, Navigation",Vendor Part,,0,0,EACH,Expendable,
01-0771105-03,Position Light-Green,Vendor Part,,0,209,EACH,Expendable,
01-0771105-04,Position Light-Red,Vendor Part,,0,209,EACH,Expendable,
01-0771105-11,Position Light ( LED Type ),Vendor Part,,0,0,EACH,Expendable,
01-0771291-00,Lamp,Vendor Part,,0,0,EACH,Expendable,
01-0790028-01,Flash Tube Assembly,Vendor Part,,0,0,EACH,Expendable,
01-0790028-1,Flash Tube Assembly,Vendor Part,,0,0,EACH,Expendable,
01-0790033-13,"Light, Ground Recognition",Vendor Part,,0,0,EACH,Expendable,
01-0790044-54,Light Assembly,Vendor Part,,0,0,EACH,Expendable,
01-0790044-55,"Light, Anti-Collosion",Vendor Part,,0,0,EACH,Expendable,
01-0790088-12,Light Assembly,Vendor Part,,0,0,EACH,Expendable,
01-0790088-17,Light Assembly,Vendor Part,,0,0,EACH,Expendable,
01-0790352-10,LED Landing Light 6'' LED,Vendor Part,,0,0,EACH,Component,
01-0790361-20,Light,Vendor Part,,0,0,EACH,Expendable,
01-0790452-00,Lamp,Vendor Part,,0,0,EACH,Expendable,
01-0790724-17,LED Anti Collision Light,Vendor Part,,0,0,EACH,Expendable,
0108-003,Flap Position Indicator,Vendor Part,,0,0,EACH,Repairable,
0108006-03,Shoulder & Lap Belt,Vendor Part,,0,0,EACH,Expendable,
01-0923,Pillar Lamp,Vendor Part,,0,0,EACH,Expendable,
011-00106-00,GPS-165 DZUS Mount IFR GPS Receiver,Vendor Part,,0,0,EACH,Repairable-On Condition,
011-00172-02,GPSMAP-195,Vendor Part,,0,0,EACH,Equipment,
011-00280-00,"Instrument, Gps/Nav/Com, 14/28V",Alternate Part,,0,0,EACH,Repairable,
011-00280-10,"Instrument, Gps/Nav/Com, 14/28V",Vendor Part,,0,0,EACH,Repairable,
011-00280-30,GPS UNIT / NAV-COMM.,Vendor Part,,0,0,EACH,Repairable,
011-00401-01,AUDIO PANEL,Vendor Part,,0,0,EACH,Rotable,
011-00455-00,"Transponder, GTX330 (Mod level 1 to II)",Vendor Part,,0,0,EACH,Repairable,
011-00490-00,ATC Transponder Type:Garmin GTX 327,Vendor Part,,0,0,EACH,Expendable,
011-00550-10,Display(GNS-530),Vendor Part,,0,0,EACH,Equipment,
011-00562-00,GARMIN DISPLAY UNIT - GPS500,Vendor Part,,0,0,EACH,Expendable,
011-00833-20,WEATHER RADAR,Vendor Part,,0,0,EACH,Equipment,
011-00835-00,GNS530A,Vendor Part,,0,0,EACH,Expendable,
011-00868-10,"GRS77,AHRS Unit",Vendor Part,,0,0,EACH,Equipment,
011-00870-00,GMU44,Vendor Part,,0,0,EACH,Component,
011-00882-10,"GDC74A,,ADC Unit",Vendor Part,,0,0,EACH,Equipment,
011-00883-20,WEATHER RADAR,Vendor Part,,0,0,EACH,Equipment,
011-00916-00,GDU1040A,Vendor Part,,0,0,EACH,Instrument,
011-00955-00,"Battery,GPS-296 GARMIN",Vendor Part,,0,0,EACH,Rotable,
011-01060-00,GNS 430W-NAV COMM,Vendor Part,,0,0,EACH,Equipment,
011-01062-00,GPS-500W,Vendor Part,,0,0,EACH,Equipment,
011-01062-40,GPS 500W,Vendor Part,,0,0,EACH,Expendable,
011-01105-01,GIA63W,Vendor Part,,0,0,EACH,Equipment,
011-01264-00,GDU 620,Vendor Part,,0,0,EACH,Repairable,
01101264-00,GDU 620,Vendor Part,,0,0,EACH,Expendable,
011-01346-00,GA-58 Directional Antenna (QMA Connector),OEM Part,,0,0,EACH,Expendable,
011-01467-00,Display,Vendor Part,,1,0,EACH,Repairable,
011-01970-01,Gyro Adapter Upgraded,Vendor Part,,0,0,EACH,Equipment,
011047-12OZ,Cleaner,Vendor Part,POL,0,0,EACH,Consumable,
01-1127-0006,Portable Towbar,Vendor Part,,0,918,EACH,Equipment,
01-1202-0000,"Tow Bar, Multi Head",Vendor Part,HGR,0,0,EACH,Equipment,
013-00049-01,CORSE DEVIATION INDICATOR,Vendor Part,,0,0,Each.,Instrument,
013-00235-00,"Antenna, GPS",Vendor Part,,0,0,EACH,Expendable,
01-3335,LAMP,OEM Part,,0,0,Each.,Consumable,
013-400,Tube,Alternate Part,,0,0,EACH,Expendable,
015-00220-0002,3.6 Lithium Battery,Vendor Part,,0,75,EACH,Expendable,
015723-000,"Cell, Battery",Vendor Part,BAT SHOP,0,160,EACH,Expendable,
017-01523-0305,KLN 90B DATA CARD,Vendor Part,,0,1555,EACH,Expendable,
017160-000,Battery,Vendor Part,,0,0,EACH,Rotable,
017496-000,"Cell, Battery Ni-Cd",Vendor Part,IVF2,0,221.94,EACH,Expendable,
018-K-4079,O RING,Standard Part,,0,0,EACH,Consumable,
019-611-0,Tire,Vendor Part,,0,0,EACH,Expendable,
01973/R,Publication-POH,Vendor Part,,0,0,EACH,Publications,
019756-000,Temperature Sensor,Vendor Part,,0,0,EACH,Equipment,
02-0250276-00,"Light, Strobe",Vendor Part,,0,0,EACH,Expendable,
0202539-004,Luminator,Vendor Part,XXVIB8,0,0,EACH,Special Tool,
02-0350433-01,Lamp,Vendor Part,,0,0,EACH,Expendable,
020412-000,Ni-cd Battery,Vendor Part,,0,0,EACH,Rotable,
02-0511-0132,"Jack, S-76",Vendor Part,,0,0,EACH,Equipment,
02-0511-0132--*,AIRCRAFT HYDRAULIC JACK,Vendor Part,,0,0,Each.,Equipment,
02-0511-0132**//,AIRCRAFT HYDRAULIC JACK,Vendor Part,,0,0,Each.,Equipment,
02-0511-0132*AH,AIRCRAFT HYDRAULIC JACK,Vendor Part,,0,0,Each.,Equipment,
02-0517-0132,Jack,Vendor Part,,0,0,EACH,Rotable,
02-0517-0140,Jack,Vendor Part,,0,0,EACH,Special Tool,
02-0520-0110,"Jack, Hydraulic, Capacity 5Tons",Vendor Part,HGR,0,0,EACH,Equipment,
02-0526-0110,"Jack, Hydraulic, Tripod, 5Ton Capacity",Vendor Part,,0,0,EACH,Equipment,
02-0536C0110,Jack - Tripod,Vendor Part,,0,0,EACH,Special Tool,
02-0544-0110,"Jack, Hydraulic, Tripod, Capacity -5Tons",Vendor Part,HGR,0,0,EACH,Equipment,
02-0544C0110,"Jack Tripod 05T (CE), Tail",Vendor Part,,0,0,EACH,Expendable,
02086/R,Publication-SB,Vendor Part,,0,0,EACH,Expendable,
02087/R,Publication-Service Letters,Vendor Part,,0,0,EACH,Expendable,
020915-004,SYR/ASSY 20MM,Vendor Part,,0,0,EACH,Expendable,
020916-001,"Syringe, W20MM Nozzle",Vendor Part,,0,26.41,EACH,Expendable,
0-20F4,Joint,Vendor Part,R3,0,0,EACH,Expendable,
020X411-1GL,Thinner,Vendor Part,,0,0,EACH,Consumable,
020X456/1GL,Thinner,Vendor Part,POL,0,0,LTR,Consumable,
02-1032-0111,"Jack, Hydraulic, Tripod, Capacity- 10Tons",Vendor Part,,0,0,EACH,Equipment,
02-1032C0111,"Jack Tripod 10T (CE), Main",Vendor Part,,0,0,EACH,Expendable,
021200-19668,Adhesive,Vendor Part,,0,0,QT,Consumable,
021200-19688,Adhesive,Vendor Part,,0,0,QT,Consumable,
021200-19868,Adhesive,Vendor Part,FR,0,0,EACH,Consumable,
021200-19868-5OZ,Adhesive,Vendor Part,,0,0,EACH,Consumable,
021200-19927-QT,3M Scotch Grip Adhesive,Vendor Part,,0,0,EACH,Consumable,
021200-19928,"Adhesive, Rubber & Gasket",Vendor Part,,0,0,QT,Consumable,
021200-20354,Adhesive,Vendor Part,FR,0,0,EACH,Consumable,
021-310-0,Tyre Nose Wheel,Standard Part,,0,0,EACH,Expendable,
021-327-0,"Tire, Michelin Air, 17.5X6.25-6-8PR-TL160M",Vendor Part,RACK,0,0,EACH,Expendable,
021-349-0,Tire 8.50-10 PLY8,Vendor Part,,0,0,EACH,Expendable,
021-350-0,"Tire, Michelin Air 8.50-10 10PR TL 160MPH",Vendor Part,,1,346.09,EACH,Expendable,
021-436-0,Tyre Nose Wheel,Vendor Part,,0,0,EACH,Expendable,
021-523,Tire,Vendor Part,,0,0,EACH,Expendable,
021-523-0,Tire,Vendor Part,,0,0,EACH,Expendable,
02-15735,Filter Element,Alternate Part,,0,0,EACH,Expendable,
02-20XP122,Lamp Holder,Vendor Part,,0,0,EACH,Component,
02216/R,Publication-Technical Documents-DVD,Vendor Part,,0,0,EACH,Publications,
022-523-0,Tyre,Vendor Part,,0,0,EACH,Rotable,
023311-000,Aircraft Battery,OEM Part,,0,0,EACH,Repairable,
023456-000,Nickel Cadimium Cell,Alternate Part,,0,0,EACH,Expendable,
023470-000,Battery,Vendor Part,R10,0,0,EACH,Repairable,
023670-000,Ni-cd Battery,Vendor Part,,0,0,EACH,Repairable,
024-00002-0000,Cable,Vendor Part,AV,0,0,FT,Expendable,
024054-000,Battery,Vendor Part,,0,0,EACH,Rotable,
024055-000,Battery,Vendor Part,,0,0,EACH,Rotable,
024398-000,Vent Valve Adapter,Vendor Part,,0,0,EACH,Expendable,
024797-000,Battery,Vendor Part,,0,0,EACH,Repairable,
0250429-00,Gasket,Alternate Part,BVB4,0,0,EACH,Expendable,
025-0460-000,"Cap, battery contact",Vendor Part,,0,0.88,EACH,Expendable,
025277-300-08,Fuel Pump,Vendor Part,,0,0,EACH,Repairable,
025323-101,Pump Rotory Power driven,Vendor Part,,0,0,EACH,Repairable,
025-349-0,Tire Main Gear,Vendor Part,,0,0,EACH,Expendable,
025-350-0,Tire,Variant Part,,0,0,EACH,Expendable,
2600-01-02,GPS,Vendor Part,RS,0,0,EACH,Repairable,
026-335-1,Tire - Nose Wheel,Vendor Part,,0,0,EACH,Expendable,
026-524-0,"Tire,22X6.75-10/10/190",Vendor Part,,0,0,EACH,Expendable,
026-528-0,Tire,Vendor Part,,0,0,EACH,Expendable,
026-545-0,"Tire,NLG",Vendor Part,,0,0,EACH,Expendable,
026-618-0,Tyre H22X8.25-10,Vendor Part,,0,0,EACH,Expendable,
027-504-0,Tyre,Vendor Part,,0,0,Each.,Accessories,
02-7813C0100,"JACK, AXLE 12 TON (CE)",Vendor Part,,0,0,EACH,Expendable,
02-7813C0100 (12 TON),TRON AIR JACK AXLE (12 TON),Vendor Part,,0,0,Each.,Equipment,
02-7813C0100-A5,"Bottle Jack ,Hydraulic, Capacity 12Tons",Vendor Part,,0,0,EACH,Equipment,
02-7828-0110,"Jack,Nose",Vendor Part,,0,0,EACH,Special Tool,
02-7856C0100,Jack -Tail,Vendor Part,,0,0,EACH,Special Tool,
028-310-0,"Tire, Nose Wheel",Vendor Part,,0,0,EACH,Expendable,
028-357-0,"Tire, Main Wheel",Vendor Part,,0,0,EACH,Expendable,
028-630,Tire,Vendor Part,,0,0,EACH,Expendable,
028-630-0,Tire,Vendor Part,,0,0,EACH,Expendable,
02N65746,"Cable, Program for ADT406",Vendor Part,,0,0,EACH,Expendable,
02S.4B.4010.000.00B,"Under Carriage Assy,Nose",OEM Part,,0,0,EACH,Rotable,
02S.4B.4010.000.00D,"Under Carriage Assy,Nose",Vendor Part,,0,0,EACH,Rotable,
02S.4B.4010.008.00A,Washer,Vendor Part,,0,0,EACH,Expendable,
02S.4B.4020.011.0A0,Pin,Vendor Part,,0,0,EACH,Expendable,
02S4A109000000A,Discharger,Vendor Part,,0,0,EACH,Expendable,
02S4A4000.000.10A,"Under Carriage Assy, Main",Vendor Part,,0,0,EACH,Repairable,
02S4A4000.000.10C,"Under Carriage Assy, Main",Vendor Part,,0,0,EACH,Repairable,
02S4A4000.000.20C,"Under Carriage Assy, Main",Vendor Part,,0,0,EACH,Repairable,
02S-4A-4000-000-20A,"Under Carriage Assy, Main",Vendor Part,,0,0,EACH,Rotable,
02S4A400000020C,Main Landing Gear,Vendor Part,,0,0,EACH,Rotable,
02S4A40100080AA,Pin,Vendor Part,,0,0,EACH,Expendable,
02S4A4010008OAA,Pin,Alternate Part,,0,0,EACH,Expendable,
02S4A40100120A0,End Cap,Vendor Part,,0,0,EACH,Accessories,
02S4A402000400A,Washer,Vendor Part,,0,0,EACH,Expendable,
02S4B1000014OAO,Bolt,Vendor Part,,0,0,EACH,Expendable,
02S4B1010000005,Nose Landing Gear,Vendor Part,,0,0,EACH,Rotable,
02S4B10700200A0,Washer,Vendor Part,,0,0,EACH,Expendable,
02S4B11300010AC,Pin,Vendor Part,,0,0,EACH,Expendable,
02S4B1130001OAC,Pin,Alternate Part,,0,0,EACH,Expendable,
02S4B4000.000.00D,"Under Carriage Assy, Main",Vendor Part,,0,0,EACH,Repairable,
02S4B4010008000,Washer,Vendor Part,,0,0,EACH,Expendable,
02S4B51300030A0,Screw,Vendor Part,,0,0,EACH,Expendable,
030-00192-0000,Connector,Vendor Part,,0,0,EACH,Expendable,
03-017343-162,Fire Detector Switch,Vendor Part,,0,0,Each.,Component,
030-611-0,Tire,Vendor Part,,0,0,EACH,Expendable,
031-00763-0711,Switch,Vendor Part,,0,0,EACH,Expendable,
031-00785-0711,Switch,Superseed Part,,0,0,EACH,Expendable,
031-0428-00,Switch,Vendor Part,VIA10,0,0,EACH,Expendable,
031-1007-000,"Socket, Contact and Crimp",Vendor Part,,0,0,EACH,Expendable,
031130-01,Valve Expansion,Vendor Part,,0,30.37,EACH,Expendable,
031134-307,Valve Expansion,Vendor Part,,0,21.56,EACH,Expendable,
031134-312,Valve -Expamsion,Vendor Part,,0,0,EACH,Expendable,
03-119-03,TKS Pump Element,Vendor Part,,0,0,EACH,Expendable,
03-1390-3000,Flash Tube Assembly,Vendor Part,,0,0,EACH,Expendable,
031‐595‐0,TIRE 18X4.25‐10 6PLY,OEM Part,,0,0,EACH,Consumable,
031-613-4,Tire,Vendor Part,,0,0,EACH,Expendable,
031-613-8,Tire,Vendor Part,,0,0,EACH,Expendable,
031-614-0,Tyre,Vendor Part,,0,0,Each.,Accessories,
031973E,"Head Set, Bose",Vendor Part,,0,0,EACH,Repairable,
032 MIL-R-6855/1,Seal,Vendor Part,,0,0,EACH,Expendable,
03-2111-0000,"Light, Navigation",Vendor Part,,0,0,EACH,Expendable,
03-2201-0002,Light Warning,Alternate Part,,0,0,EACH,Repairable,
03-27830-SQ FT,Aluminum Sheet 2024T3 0.020''T*4'W*6'L,Vendor Part,,0,0,Sq.Ft,Expendable,
03-27930-SQ FT,Aluminum Sheet 2024T3 0.025''T*4'W*6'L,Vendor Part,,0,0,EACH,Expendable,
03-28030-SQ FT,Aluminum Sheet 2024T3 0.032''T*4'W*6'L,Vendor Part,,0,0,Sq.Ft,Expendable,
03-28130-SQ FT,Aluminum Sheet 2024T3 0.040''T*4'W*6'L,Vendor Part,,0,0,Sq.Ft,Expendable,
03-28330-SQ FT,Aluminum Sheet 2024T3 0.063''T*4'W*6'L,Vendor Part,,0,0,Sq.Ft,Expendable,
032-MIL-R-6855/1,"SYN RBR SHT CL1,GR60",Vendor Part,,0,0,EACH,Expendable,
032MIL-R-6855/1,"SYN RBR SHT CL 1,GR 60",OEM Part,,0,0,Square Inch,Consumable,
033-504-0,Tire,Vendor Part,,0,0,EACH,Expendable,
033‐504‐0,TIRE 23X7.0X12,Vendor Part,,0,0,EACH,Expendable,
033-631-0,Tire,Vendor Part,,0,0,EACH,Expendable,
03-49,MAPAERO,Vendor Part,,0,0,500ML,Consumable,
034921-01,O Ring,Vendor Part,,0,0,EACH,Expendable,
036-00057-0010,Fuse,Vendor Part,IIIE2,0,0,EACH,Expendable,
037-00060-0001,Display for KY196 VHF Comm Transreceiver,Vendor Part,,0,0,EACH,Repairable,
037-00073-0000,Display,Vendor Part,,0,266,EACH,Repairable,
037-05098-0000,KT-70 DISPLAY,Vendor Part,,0,164,EACH,Repairable,
037913-05-45,Filter Element,Vendor Part,,0,0,EACH,Expendable,
038072-05,Filter Element,Vendor Part,VIIE3,0,23.62,EACH,Expendable,
038088-08,Filter Element,Vendor Part,R2B,1,0,EACH,Expendable,
038088-08-80,Filter Element,Superseed Part,R2B,0,0,EACH,Expendable,
03885KMZ-PA,"Paint,Anti Skid",Vendor Part,,0,0,USG,Consumable,
03E66474,"Encoder, Software STB-06",Vendor Part,,0,0,EACH,Expendable,
03G10S,Lock Washer,Vendor Part,,0,0,EACH,Expendable,
040-0003,Lamp-Flashing Beacon,Alternate Part,,0,0,EACH,Expendable,
040-0043,Strobe Tube Assembly,Vendor Part,,0,0,EACH,Expendable,
040-0046,Bulb-Wing Navigation,Vendor Part,,0,0,EACH,Expendable,
04-002-S,"Adapter, Oxygen",Vendor Part,,0,89,EACH,Expendable,
040-11651990,RH Sliding Window,Vendor Part,,0,0,EACH,Expendable,
040-17900,"Wheel Assembly, Main",Vendor Part,,0,0,EACH,Rotable,
040-21101,WHEEL ASSY 11.00X12,Vendor Part,,0,0,EACH,Rotable,
040-760-109,Filter,Vendor Part,,0,0,EACH,Expendable,
0411185-7,Hinge,Vendor Part,,0,0,EACH,Expendable,
04-130-21-101-01,Braket,Vendor Part,,0,0,EACH,Expendable,
0425020HN,Nut,Vendor Part,,0,0,EACH,Expendable,
0442506-1,Torque Link,Vendor Part,,0,0,EACH,Component,
0442506-2,Torque Link,Vendor Part,,0,0,5PC/BAG,Component,
04471-02-02-03,Air Data Computer,Vendor Part,,0,0,EACH,Rotable,
04516-11OZ,Contact Cleaner LPS Micro-X,Vendor Part,,0,0,EACH,Consumable,
0453003-21,Shock Mount Assy,Vendor Part,,0,0,EACH,Expendable,
047-03221-0002,Mount Instrument,Vendor Part,,0,0,EACH,Equipment,
047-04874-0001,Mounting Tray,Vendor Part,,0,0,EACH,Expendable,
047-05657-0001,Grounding Ring,Vendor Part,VF1,0,0,EACH,Expendable,
0472(1-1/4-3),HOOK SPANNER,Standard Part,,0,0,EACH,Special Tool,
"0474(2-4)3/4""",HOOK SPANNER,Standard Part,,0,0,EACH,Special Tool,
047-500-005-014,Tube Assembly,Vendor Part,BVIIIC1,0,0,EACH,Expendable,
047546-17,"Element, Filter",PMA Part,XIE1,1,78.03,EACH,Expendable,
047546-17.,"Element, Filter",Vendor Part,R,0,78.03,EACH,Expendable,
047-641-173-001,Plug,Vendor Part,IIIC7,0,0,EACH,Expendable,
047-641-175-001,Race,Vendor Part,BVIIB4,0,0,EACH,Expendable,
047-641-191-001,Weight,Vendor Part,BV C8,0,0,EACH,Expendable,
048011-98647,Urethane Adhesive,Alternate Part,,0,0,2 Oz,Consumable,
050-01401-0002,Installation Kit KNI-416,Vendor Part,AV,0,0,EACH,Repairable,
050-01577-0000,Installation Kit,Vendor Part,,0,0,KIT,Expendable,
050-01778-0001,Installation Kit,Vendor Part,,0,0,SET,Expendable,
050-01987-0000,KA 98 INSTALLATIONKIT,Vendor Part,,0,0,EACH,Expendable,
050-02960-000,Installation Kit,Vendor Part,AV,0,0,EACH,Repairable,
050-03213-0000,PC Data Loader Kit,Vendor Part,,0,115,SET,Expendable,
050-03318-0000,GPS Antenna Installation Kit KA92,Vendor Part,,0,0,EACH,Expendable,
050-03365-0000,Installation Kit KRA-405B,Vendor Part,AV,0,0,EACH,Expendable,
050084-4,Condensor Blower,Vendor Part,,0,0,EACH,Expendable,
050143-1,"BLOWER, 5 INCH BRUSHLESS",Vendor Part,,0,0,EACH,Expendable,
050143-2,"BLOWER, 5 INCH BRUSHLESS",Alternate Part,,0,0,EACH,Expendable,
05-0235,COPPER LOCKING WIRE,Vendor Part,,0,0,EACH,Expendable,
05076-10A010-2,"Step, Boarding",Vendor Part,,0,0,EACH,Repairable,
05076-10A108-2,Drive Shaft,Vendor Part,,0,0,EACH,Rotable,
0511189-1,Clip,Vendor Part,,0,0,EACH,Expendable,
0512008-4S,Skin,Vendor Part,,0,0,EACH,Expendable,
0513602-1,Horn - Assy,Vendor Part,,0,0,EACH,Expendable,
05228-21-11328,Filter Element,PMA Part,BVC1,0,0,EACH,Expendable,
05228-7592240-001,Filter Element,Vendor Part,G5,0,0,EACH,Expendable,
05228-7592980-101,Filter Element,PMA Part,R2A,0,0,EACH,Expendable,
05228-7593359-101,Filter Element,Vendor Part,XIF,0,0,EACH,Expendable,
05228-7593362-101,Filter Element,Vendor Part,,0,0,EACH,Expendable,
0523613-1,Eye Bolt,Vendor Part,,0,0,EACH,Expendable,
0523816-1,Hinge - Assy,Vendor Part,,0,0,EACH,Expendable,
0527-2,Wheel Hub Assembly,Vendor Part,,0,0,EACH,Expendable,
05-340201,Screw,Vendor Part,VD2,0,0,EACH,Expendable,
0541139-0,Plug,Vendor Part,,0,0,EACH,Expendable,
0541148-2,Spring,Vendor Part,,0,0,EACH,Expendable,
0543047-1,Spacer,Vendor Part,,0,0,EACH,Expendable,
0552227-1,Shim,Vendor Part,,0,0,EACH,Expendable,
0568-112,Packing,Vendor Part,,0,0,EACH,Expendable,
0580/9000/5LT,Thinner for 4125,Vendor Part,,0,0,EACH,Consumable,
0580001-1,Fuel Qty Test Box,Vendor Part,,0,0,EACH,Special Tool,
05DB53A1926,Flap Position Indicator,Vendor Part,,0,0,EACH,Repairable,
060-00015-0000,Gyro,Vendor Part,,0,0,EACH,Repairable,
060-00040-0100,TRAS KRG333,Vendor Part,,0,0,EACH,Rotable,
060-0013-01,Directional Gyro,Vendor Part,,0,0,EACH,Rotable,
060-0015-00,"Dir. Gyro,KG-102A",Vendor Part,,0,0,EACH,Instrument,
