Aircraft,Assembly,Serial No,Log Page,Routing From,Routing To,Departure_ICAO,Arrival_ICAO,DepartureTime,TakeOffTime,TouchDownTime,ArrivalTime,Departure UTC,Take Off UTC,Touch Down UTC,Arrival UTC,Flight Time,CON. FLT. TIMES,BlockTime,CON. BLOCK TIMES,TOTAL A/C TIME,TOTAL CYCLES,CYLCES FLOWN,Flight Log Classification
VT-VPA,HAWKER 800XP,258415,0008,VOBG,143,Not A,Not A,03-Jan-2021 13:50,03-Jan-2021 13:58,03-Jan-2021 14:33,03-Jan-2021 14:40,03-Jan-2021 08:20,03-Jan-2021 08:28,03-Jan-2021 09:03,03-Jan-2021 09:10,0:35,0.6,0:50,0.8,4751:55,3307,1,
VT-VPA,HAWKER 800XP,258415,0008,143,131,Not A,Not A,03-Jan-2021 15:10,03-Jan-2021 15:19,03-Jan-2021 16:51,03-Jan-2021 17:00,03-Jan-2021 09:40,03-Jan-2021 09:49,03-Jan-2021 11:21,03-Jan-2021 11:30,1:32,1.5,1:50,1.8,4753:27,3308,1,
VT-VPA,HAWKER 800XP,258415,0009,131,143,Not A,Not A,03-Jan-2021 17:50,03-Jan-2021 18:02,03-Jan-2021 19:43,03-Jan-2021 19:55,03-Jan-2021 12:20,03-Jan-2021 12:32,03-Jan-2021 14:13,03-Jan-2021 14:25,1:41,1.7,2:05,2.1,4755:08,3309,1,
VT-VPA,HAWKER 800XP,258415,0010,143,205,Not A,Not A,04-Jan-2021 12:20,04-Jan-2021 12:28,04-Jan-2021 12:57,04-Jan-2021 13:05,04-Jan-2021 06:50,04-Jan-2021 06:58,04-Jan-2021 07:27,04-Jan-2021 07:35,0:29,0.5,0:45,0.8,4755:37,3310,1,
VT-VPA,HAWKER 800XP,258415,0010,205,VOBG,Not A,Not A,04-Jan-2021 13:20,04-Jan-2021 13:25,04-Jan-2021 13:55,04-Jan-2021 14:00,04-Jan-2021 07:50,04-Jan-2021 07:55,04-Jan-2021 08:25,04-Jan-2021 08:30,0:30,0.5,0:40,0.7,4756:07,3311,1,
VT-VPA,HAWKER 800XP,258415,0010,VOBG,205,Not A,Not A,04-Jan-2021 16:20,04-Jan-2021 16:25,04-Jan-2021 17:06,04-Jan-2021 17:10,04-Jan-2021 10:50,04-Jan-2021 10:55,04-Jan-2021 11:36,04-Jan-2021 11:40,0:41,0.7,0:50,0.8,4756:48,3312,1,
VT-VPA,HAWKER 800XP,258415,0011,205,143,Not A,Not A,04-Jan-2021 17:20,04-Jan-2021 17:27,04-Jan-2021 17:44,04-Jan-2021 17:50,04-Jan-2021 11:50,04-Jan-2021 11:57,04-Jan-2021 12:14,04-Jan-2021 12:20,0:17,0.3,0:30,0.5,4757:05,3313,1,
VT-VPA,HAWKER 800XP,258415,0012,143,143,Not A,Not A,05-Jan-2021 07:00,05-Jan-2021 07:00,05-Jan-2021 07:00,05-Jan-2021 07:00,05-Jan-2021 01:30,05-Jan-2021 01:30,05-Jan-2021 01:30,05-Jan-2021 01:30,0:00,0.0,0:00,0.0,4757:05,3313,0,
VT-VPA,HAWKER 800XP,258415,0013,143,143,Not A,Not A,25-Jan-2021 10:00,25-Jan-2021 10:12,25-Jan-2021 10:49,25-Jan-2021 11:00,25-Jan-2021 04:30,25-Jan-2021 04:42,25-Jan-2021 05:19,25-Jan-2021 05:30,0:37,0.6,1:00,1.0,4757:42,3314,1,
VT-VPA,HAWKER 800XP,258415,0014,143,143,Not A,Not A,29-Jan-2021 18:00,29-Jan-2021 18:14,29-Jan-2021 18:56,29-Jan-2021 19:10,29-Jan-2021 12:30,29-Jan-2021 12:44,29-Jan-2021 13:26,29-Jan-2021 13:40,0:42,0.7,1:10,1.2,4758:24,3315,1,
VT-VPA,HAWKER 800XP,258415,0015,143,110,Not A,Not A,01-Feb-2021 10:05,01-Feb-2021 10:17,01-Feb-2021 13:13,01-Feb-2021 13:25,01-Feb-2021 04:35,01-Feb-2021 04:47,01-Feb-2021 07:43,01-Feb-2021 07:55,2:56,2.9,3:20,3.3,4761:20,3316,1,
VT-VPA,HAWKER 800XP,258415,0015,110,143,Not A,Not A,01-Feb-2021 14:00,01-Feb-2021 14:10,01-Feb-2021 17:06,01-Feb-2021 17:15,01-Feb-2021 08:30,01-Feb-2021 08:40,01-Feb-2021 11:36,01-Feb-2021 11:45,2:56,2.9,3:15,3.3,4764:16,3317,1,
VT-VPA,HAWKER 800XP,258415,0016,143,131,Not A,Not A,02-Feb-2021 08:40,02-Feb-2021 08:48,02-Feb-2021 10:23,02-Feb-2021 10:30,02-Feb-2021 03:10,02-Feb-2021 03:18,02-Feb-2021 04:53,02-Feb-2021 05:00,1:35,1.6,1:50,1.8,4765:51,3318,1,
